"term";"estimate";"std.error";"statistic";"p.value"
"(Intercept)";"8,3367227791500120304";"0,01932744817960324948";"431,34110109517553";"0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineAir India";"0,1801044338429928227";"0,01894000316122625496";"9,50920822503876";"0,00000000000000000000233436585586555652295330520740179736094432882964611053466796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineGoAir";"-0,0055648625681037284";"0,02754043230672275147";"-0,20206155466722";"0,83987245681770050786951742338715121150016784667968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineIndiGo";"0,0285613214333487221";"0,01820428859157014953";"1,56893367679167";"0,11669306050544046848838064533993019722402095794677734375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineJet Airways";"0,4807263819933957349";"0,01793858466008989988";"26,79845657293827";"0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369497939541108"
"airlineJet Airways Business";"2,0934712777082888913";"0,12450912478297088137";"16,81379803574535";"0,00000000000000000000000000000000000000000000000000000000000001234817400827249367443322336512778747419361025094985961914062500000000000000000000000000000000000000000000"
"airlineMultiple carriers";"0,4239943870408487969";"0,01939656660037475042";"21,85924941131886";"0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011730909349890961719401274998553219575114781036972999572753906250"
"airlineMultiple carriers Premium economy";"0,5309655338737130359";"0,08547952827123603270";"6,21161048279186";"0,00000000054399314747777294406193282494399454662925563752651214599609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineSpiceJet";"-0,1651168272810160931";"0,02003327323552731021";"-8,24212924866394";"0,00000000000000018900887790093709429906088104189620935358107089996337890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineTrujet";"-0,4577477440276912501";"0,30227785637738635582";"-1,51432774306896";"0,12997236938504111436465393580874660983681678771972656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"airlineVistara";"0,2952910641328896357";"0,02199634147424710945";"13,42455355489960";"0,00000000000000000000000000000000000000009295639646728555779801872471779233819688670337200164794921875000000000000000000000000000000000000000000000000000000000000000000"
"airlineVistara Premium economy";"0,6459106479226867092";"0,17505709647293771214";"3,68971416147382";"0,00022562343745477565532149555327379175651003606617450714111328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"duration_min";"0,0000678138080661279";"0,00000909963205990692";"7,45236814188524";"0,00000000000009878323984294161205256534774576948620961047708988189697265625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"total_stops_num";"0,3603880097102266089";"0,00676527266904608082";"53,27028596484377";"0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"momento_diaMañana";"0,0667051591834875168";"0,01039540858572717344";"6,41679051221452";"0,00000000014508144764959627627011473638418692644336260855197906494140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"momento_diaTarde";"0,0758643294139062646";"0,01095581972464717072";"6,92456897983044";"0,00000000000462472820192729689543417737063180084078339859843254089355468750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"momento_diaNoche";"0,0332158862639539421";"0,01096341913090220603";"3,02970139765335";"0,00245381896416200628169290709479355427902191877365112304687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
